trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.98}",25,0,-212.21590629945632,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.01, 'e': 0.96}",20,0,-84.73977682711585,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.94}",25,0,-24.236077763846087,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9199999999999999}",20,1,-117.63776026883205,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.01, 'e': 0.8999999999999999}",20,0,-65.11755784731886,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.8799999999999999}",20,0,-150.50760129789418,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.8599999999999999}",25,0,-55.833357577852475,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.8399999999999999}",30,0,-226.27712924768394,"{0: 15, 1: 1, 2: 10, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.8199999999999998}",25,0,-65.23534553237589,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.7999999999999998}",25,0,-86.51954210921842,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.7799999999999998}",25,0,-57.15282888806529,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.7599999999999998}",30,18,-85.81513581976671,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.01, 'e': 0.7399999999999998}",25,0,-26.284705462049786,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.7199999999999998}",25,0,-192.3560497615047,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.6999999999999997}",20,0,-58.35936345084782,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.6799999999999997}",20,0,-33.755006150708404,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.6599999999999997}",30,3,-129.5333466510246,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 2}",1
18,False,"{'a': 0.01, 'e': 0.6399999999999997}",30,0,-2.3634691322565438,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.6199999999999997}",20,6,-19.735100391025412,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.5999999999999996}",25,0,-80.82341498632786,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.5799999999999996}",20,0,-24.842656770171654,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
