trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.998}",20,0,-102.51530633460588,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.996}",20,0,-132.6319135713946,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.994}",25,2,-117.26232389276784,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 1}",1
4,False,"{'a': 0.01, 'e': 0.992}",25,7,-51.262368359742766,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 0}",1
5,False,"{'a': 0.01, 'e': 0.99}",20,0,-17.32213807518093,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.988}",30,0,-121.98499816079695,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.986}",20,0,-109.95323121142113,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.984}",25,0,-187.57485404759888,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.982}",20,0,-35.1221584503664,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.98}",20,8,-7.036753476030145,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.978}",20,0,-89.74117315193239,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.976}",30,0,-131.86070985512976,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.974}",20,0,-57.415113065961194,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.972}",25,0,-245.82166741607213,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
15,False,"{'a': 0.01, 'e': 0.97}",20,0,-81.39233491442756,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.968}",25,10,-84.87307839433144,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
17,False,"{'a': 0.01, 'e': 0.966}",20,0,-92.7309756897481,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.964}",25,0,-209.91030397853785,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
19,False,"{'a': 0.01, 'e': 0.962}",20,0,-47.100897965269276,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.96}",25,0,-101.00921682251095,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.958}",25,0,-120.32005261143513,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.956}",35,0,-131.54398736841782,"{0: 24, 1: 5, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.954}",30,9,-86.75332247930727,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.952}",20,12,-57.879857603573456,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 1}",1
25,False,"{'a': 0.01, 'e': 0.95}",30,0,-215.69679726042486,"{0: 15, 1: 7, 2: 4, 3: 0, 4: 4}",0
26,False,"{'a': 0.01, 'e': 0.948}",20,0,-96.39085308097849,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.946}",20,0,-103.04590771401298,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.944}",30,0,-73.89033563963204,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.942}",20,0,-12.199997747078545,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.94}",25,0,-53.60988181050184,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.938}",20,0,-29.25282213972998,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9359999999999999}",30,0,-139.1867241099565,"{0: 15, 1: 6, 2: 8, 3: 0, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.9339999999999999}",25,2,-38.228576010928556,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.9319999999999999}",20,0,-25.68673824151021,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9299999999999999}",20,10,-85.21178235827446,"{0: 4, 1: 0, 2: 5, 3: 0, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.9279999999999999}",20,2,-114.95517049918871,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 1}",1
37,False,"{'a': 0.01, 'e': 0.9259999999999999}",25,0,-89.38732319128026,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9239999999999999}",20,0,-59.57970882326689,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9219999999999999}",20,0,-120.67301488940913,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.9199999999999999}",20,0,-91.69921706934088,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9179999999999999}",20,0,-129.6949011175429,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9159999999999999}",25,0,-186.35664323856633,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9139999999999999}",20,0,-46.899584126336045,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9119999999999999}",20,0,-78.07141560186183,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9099999999999999}",20,0,-21.512948947621915,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.9079999999999999}",25,0,-110.78436238940006,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.9059999999999999}",25,0,-183.09417977475448,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.9039999999999999}",20,0,-42.05034161141096,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.9019999999999999}",20,0,-110.83781849619287,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8999999999999999}",25,12,-59.81069379038495,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.01, 'e': 0.8979999999999999}",20,0,-86.55953620627476,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8959999999999999}",30,0,-121.51082889038263,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.8939999999999999}",20,6,-120.5327964248325,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 2}",1
54,False,"{'a': 0.01, 'e': 0.8919999999999999}",20,0,-109.00212517645768,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8899999999999999}",25,0,-133.21602366671095,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
56,False,"{'a': 0.01, 'e': 0.8879999999999999}",30,7,-70.01979400540777,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8859999999999999}",20,0,-99.38462678670105,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
